prov_title,quiz_name,question_count,question_text,question_img,choise_header,choise_text,choise_img,correct_answer,questiondescription_img
"Högskoleprovet HT 2014","kvantitativ 1",14,"kvantitativ jämförelse koordinater","images/2014-vt/kvant-1-fråga-14.png","C","I är lika med II","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",14,"kvantitativ jämförelse koordinater","images/2014-vt/kvant-1-fråga-14.png","D","informationen är otillräcklig","","False",""

"Högskoleprovet HT 2014","kvantitativ 1",15,"Två cirklar med olika stora radier skär varandra i två punkter.","images/2014-vt/kvant-1-fråga-15.png","A","I är större än II","","True",""
"Högskoleprovet HT 2014","kvantitativ 1",15,"Två cirklar med olika stora radier skär varandra i två punkter.","images/2014-vt/kvant-1-fråga-15.png","B","II är större än I","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",15,"Två cirklar med olika stora radier skär varandra i två punkter.","images/2014-vt/kvant-1-fråga-15.png","C","I är lika med II","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",15,"Två cirklar med olika stora radier skär varandra i två punkter.","images/2014-vt/kvant-1-fråga-15.png","D","informationen är otillräcklig","","False",""

"Högskoleprovet HT 2014","kvantitativ 1",16,"kvantitativ jämförelse potenser","images/2014-vt/kvant-1-fråga-16.png","A","I är större än II","","True",""
"Högskoleprovet HT 2014","kvantitativ 1",16,"kvantitativ jämförelse potenser","images/2014-vt/kvant-1-fråga-16.png","B","II är större än I","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",16,"kvantitativ jämförelse potenser","images/2014-vt/kvant-1-fråga-16.png","C","I är lika med II","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",16,"kvantitativ jämförelse potenser","images/2014-vt/kvant-1-fråga-16.png","D","informationen är otillräcklig","","False",""

"Högskoleprovet HT 2014","kvantitativ 1",17,"En mätserie är: 5, 1, 6, 5, 8","images/2014-vt/kvant-1-fråga-17.png","A","I är större än II","","True",""
"Högskoleprovet HT 2014","kvantitativ 1",17,"En mätserie är: 5, 1, 6, 5, 8","images/2014-vt/kvant-1-fråga-17.png","B","II är större än I","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",17,"En mätserie är: 5, 1, 6, 5, 8","images/2014-vt/kvant-1-fråga-17.png","C","I är lika med II","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",17,"En mätserie är: 5, 1, 6, 5, 8","images/2014-vt/kvant-1-fråga-17.png","D","informationen är otillräcklig","","False",""


"Högskoleprovet HT 2014","kvantitativ 1",18,"x > 0 och y > 0","images/2014-vt/kvant-1-fråga-18.png","A","I är större än II","","True",""
"Högskoleprovet HT 2014","kvantitativ 1",18,"x > 0 och y > 0","images/2014-vt/kvant-1-fråga-18.png","B","II är större än I","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",18,"x > 0 och y > 0","images/2014-vt/kvant-1-fråga-18.png","C","I är lika med II","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",18,"x > 0 och y > 0","images/2014-vt/kvant-1-fråga-18.png","D","informationen är otillräcklig","","False",""

"Högskoleprovet HT 2014","kvantitativ 1",19,"x = 3y – 3","images/2014-vt/kvant-1-fråga-19.png","A","I är större än II","","True",""
"Högskoleprovet HT 2014","kvantitativ 1",19,"x = 3y – 3","images/2014-vt/kvant-1-fråga-19.png","B","II är större än I","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",19,"x = 3y – 3","images/2014-vt/kvant-1-fråga-19.png","C","I är lika med II","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",19,"x = 3y – 3","images/2014-vt/kvant-1-fråga-19.png","D","informationen är otillräcklig","","False",""


"Högskoleprovet HT 2014","kvantitativ 1",20,"\[x > 1\]","images/2014-vt/kvant-1-fråga-20.png","A","I är större än II","","True",""
"Högskoleprovet HT 2014","kvantitativ 1",20,"\[x > 1\]","images/2014-vt/kvant-1-fråga-20.png","B","II är större än I","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",20,"\[x > 1\]","images/2014-vt/kvant-1-fråga-20.png","C","I är lika med II","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",20,"\[x > 1\]","images/2014-vt/kvant-1-fråga-20.png","D","informationen är otillräcklig","","False",""

"Högskoleprovet HT 2014","kvantitativ 1",21,"x och y är negativa tal så att x = 2y.","images/2014-vt/kvant-1-fråga-21.png","A","I är större än II","","True",""
"Högskoleprovet HT 2014","kvantitativ 1",21,"x och y är negativa tal så att x = 2y.","images/2014-vt/kvant-1-fråga-21.png","B","II är större än I","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",21,"x och y är negativa tal så att x = 2y.","images/2014-vt/kvant-1-fråga-21.png","C","I är lika med II","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",21,"x och y är negativa tal så att x = 2y.","images/2014-vt/kvant-1-fråga-21.png","D","informationen är otillräcklig","","False",""

"Högskoleprovet HT 2014","kvantitativ 1",22,"Hörnen till tre kvadrater av olika storlek sammanfaller så att kvadraterna avgränsar ett område i form av en rätvinklig triangel. Arean av den största kvadraten är 3 721 m2 och arean av den minsta kvadraten är 121 m2.","images/2014-vt/kvant-1-fråga-22.png","A","I är större än II","","True",""
"Högskoleprovet HT 2014","kvantitativ 1",22,"Hörnen till tre kvadrater av olika storlek sammanfaller så att kvadraterna avgränsar ett område i form av en rätvinklig triangel. Arean av den största kvadraten är 3 721 m2 och arean av den minsta kvadraten är 121 m2.","images/2014-vt/kvant-1-fråga-22.png","B","II är större än I","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",22,"Hörnen till tre kvadrater av olika storlek sammanfaller så att kvadraterna avgränsar ett område i form av en rätvinklig triangel. Arean av den största kvadraten är 3 721 m2 och arean av den minsta kvadraten är 121 m2.","images/2014-vt/kvant-1-fråga-22.png","C","I är lika med II","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",22,"Hörnen till tre kvadrater av olika storlek sammanfaller så att kvadraterna avgränsar ett område i form av en rätvinklig triangel. Arean av den största kvadraten är 3 721 m2 och arean av den minsta kvadraten är 121 m2.","images/2014-vt/kvant-1-fråga-22.png","D","informationen är otillräcklig","","False",""


"Högskoleprovet HT 2014","kvantitativ 1",23,"Norden består av länderna Danmark, Finland, Island, Norge och Sverige. \[ \textbf{Vilket nordiskt land konsumerade minst respektive mest elektricitet år 2008?} \]","images/2014-vt/kvant-1-fråga-23.png","A","i (1) men ej i (2)","","True",""
"Högskoleprovet HT 2014","kvantitativ 1",23,"Norden består av länderna Danmark, Finland, Island, Norge och Sverige. \[ \textbf{Vilket nordiskt land konsumerade minst respektive mest elektricitet år 2008?} \]","images/2014-vt/kvant-1-fråga-23.png","B","i (2) men ej i (1)","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",23,"Norden består av länderna Danmark, Finland, Island, Norge och Sverige. \[ \textbf{Vilket nordiskt land konsumerade minst respektive mest elektricitet år 2008?} \]","images/2014-vt/kvant-1-fråga-23.png","C","i (1) tillsammans med (2)","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",23,"Norden består av länderna Danmark, Finland, Island, Norge och Sverige. \[ \textbf{Vilket nordiskt land konsumerade minst respektive mest elektricitet år 2008?} \]","images/2014-vt/kvant-1-fråga-23.png","D","i (1) och (2) var för sig","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",23,"Norden består av länderna Danmark, Finland, Island, Norge och Sverige. \[ \textbf{Vilket nordiskt land konsumerade minst respektive mest elektricitet år 2008?} \]","images/2014-vt/kvant-1-fråga-23.png","E","ej genom de båda påståendena","","False",""

"Högskoleprovet HT 2014","kvantitativ 1",24,"Olle stickar tre identiska tröjor med likadana garnnystan. Tröjorna väger tillsammans 1 350 gram. \[ \textbf{Vad väger ett garnnystan?} \]","images/2014-vt/kvant-1-fråga-24.png","A","i (1) men ej i (2)","","True",""
"Högskoleprovet HT 2014","kvantitativ 1",24,"Olle stickar tre identiska tröjor med likadana garnnystan. Tröjorna väger tillsammans 1 350 gram. \[ \textbf{Vad väger ett garnnystan?} \]","images/2014-vt/kvant-1-fråga-24.png","B","i (2) men ej i (1)","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",24,"Olle stickar tre identiska tröjor med likadana garnnystan. Tröjorna väger tillsammans 1 350 gram. \[ \textbf{Vad väger ett garnnystan?} \]","images/2014-vt/kvant-1-fråga-24.png","C","i (1) tillsammans med (2)","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",24,"Olle stickar tre identiska tröjor med likadana garnnystan. Tröjorna väger tillsammans 1 350 gram. \[ \textbf{Vad väger ett garnnystan?} \]","images/2014-vt/kvant-1-fråga-24.png","D","i (1) och (2) var för sig","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",24,"Olle stickar tre identiska tröjor med likadana garnnystan. Tröjorna väger tillsammans 1 350 gram. \[ \textbf{Vad väger ett garnnystan?} \]","images/2014-vt/kvant-1-fråga-24.png","E","ej genom de båda påståendena","","False",""

"Högskoleprovet HT 2014","kvantitativ 1",25,"I en biografsalong är sittplatserna placerade i parallella rader och det är lika många sittplatser i varje rad.\[ \textbf{Hur många sittplatser finns det i varje rad?} \]","images/2014-vt/kvant-1-fråga-25.png","A","i (1) men ej i (2)","","True",""
"Högskoleprovet HT 2014","kvantitativ 1",25,"I en biografsalong är sittplatserna placerade i parallella rader och det är lika många sittplatser i varje rad.\[ \textbf{Hur många sittplatser finns det i varje rad?} \]","images/2014-vt/kvant-1-fråga-25.png","B","i (2) men ej i (1)","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",25,"I en biografsalong är sittplatserna placerade i parallella rader och det är lika många sittplatser i varje rad.\[ \textbf{Hur många sittplatser finns det i varje rad?} \]","images/2014-vt/kvant-1-fråga-25.png","C","i (1) tillsammans med (2)","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",25,"I en biografsalong är sittplatserna placerade i parallella rader och det är lika många sittplatser i varje rad.\[ \textbf{Hur många sittplatser finns det i varje rad?} \]","images/2014-vt/kvant-1-fråga-25.png","D","i (1) och (2) var för sig","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",25,"I en biografsalong är sittplatserna placerade i parallella rader och det är lika många sittplatser i varje rad.\[ \textbf{Hur många sittplatser finns det i varje rad?} \]","images/2014-vt/kvant-1-fråga-25.png","E","ej genom de båda påståendena","","False",""


"Högskoleprovet HT 2014","kvantitativ 1",26,"Bland talen 21, 24, 27, 30, 36, 45 väljs ett ut, vilket?","images/2014-vt/kvant-1-fråga-26.png","A","i (1) men ej i (2)","","True",""
"Högskoleprovet HT 2014","kvantitativ 1",26,"Bland talen 21, 24, 27, 30, 36, 45 väljs ett ut, vilket?","images/2014-vt/kvant-1-fråga-26.png","B","i (2) men ej i (1)","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",26,"Bland talen 21, 24, 27, 30, 36, 45 väljs ett ut, vilket?","images/2014-vt/kvant-1-fråga-26.png","C","i (1) tillsammans med (2)","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",26,"Bland talen 21, 24, 27, 30, 36, 45 väljs ett ut, vilket?","images/2014-vt/kvant-1-fråga-26.png","D","i (1) och (2) var för sig","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",26,"Bland talen 21, 24, 27, 30, 36, 45 väljs ett ut, vilket?","images/2014-vt/kvant-1-fråga-26.png","E","ej genom de båda påståendena","","False",""

"Högskoleprovet HT 2014","kvantitativ 1",27,"I ett cykelställ står både damcyklar och herrcyklar med och utan sadelskydd. Lika många herrcyklar som damcyklar har sadelskydd. \[ \textbf{Hur många damcyklar är utan sadelskydd?} \]","images/2014-vt/kvant-1-fråga-27.png","A","i (1) men ej i (2)","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",27,"I ett cykelställ står både damcyklar och herrcyklar med och utan sadelskydd. Lika många herrcyklar som damcyklar har sadelskydd. \[ \textbf{Hur många damcyklar är utan sadelskydd?} \]","images/2014-vt/kvant-1-fråga-27.png","B","i (2) men ej i (1)","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",27,"I ett cykelställ står både damcyklar och herrcyklar med och utan sadelskydd. Lika många herrcyklar som damcyklar har sadelskydd. \[ \textbf{Hur många damcyklar är utan sadelskydd?} \]","images/2014-vt/kvant-1-fråga-27.png","C","i (1) tillsammans med (2)","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",27,"I ett cykelställ står både damcyklar och herrcyklar med och utan sadelskydd. Lika många herrcyklar som damcyklar har sadelskydd. \[ \textbf{Hur många damcyklar är utan sadelskydd?} \]","images/2014-vt/kvant-1-fråga-27.png","D","i (1) och (2) var för sig","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",27,"I ett cykelställ står både damcyklar och herrcyklar med och utan sadelskydd. Lika många herrcyklar som damcyklar har sadelskydd. \[ \textbf{Hur många damcyklar är utan sadelskydd?} \]","images/2014-vt/kvant-1-fråga-27.png","E","ej genom de båda påståendena","","False",""


"Högskoleprovet HT 2014","kvantitativ 1",28,"a, b, c, d och e är olika heltal större än 0. a + b + c + d = 20. a + c + e = 23. \[ \textbf{Vad är e?} \]","images/2014-vt/kvant-1-fråga-28.png","A","i (1) men ej i (2)","","True",""
"Högskoleprovet HT 2014","kvantitativ 1",28,"a, b, c, d och e är olika heltal större än 0. a + b + c + d = 20. a + c + e = 23. \[ \textbf{Vad är e?} \]","images/2014-vt/kvant-1-fråga-28.png","B","i (2) men ej i (1)","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",28,"a, b, c, d och e är olika heltal större än 0. a + b + c + d = 20. a + c + e = 23. \[ \textbf{Vad är e?} \]","images/2014-vt/kvant-1-fråga-28.png","C","i (1) tillsammans med (2)","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",28,"a, b, c, d och e är olika heltal större än 0. a + b + c + d = 20. a + c + e = 23. \[ \textbf{Vad är e?} \]","images/2014-vt/kvant-1-fråga-28.png","D","i (1) och (2) var för sig","","False",""
"Högskoleprovet HT 2014","kvantitativ 1",28,"a, b, c, d och e är olika heltal större än 0. a + b + c + d = 20. a + c + e = 23. \[ \textbf{Vad är e?} \]","images/2014-vt/kvant-1-fråga-28.png","E","ej genom de båda påståendena","","False",""
